chr	start	end	strand	peak	position	Quality
chr4	49124708	49124709	+	39	49124709	30.23
chr4	49124728	49124729	+	39	49124729	41.09
chr4	49124891	49124892	+	35	49124892	97.39
chr4	49124892	49124893	+	35	49124893	97.39
chr4	49124916	49124917	+	1	49124917	55.39
chr4	49125825	49125826	+	2	49125826	91.62
chr4	49125911	49125912	+	80	49125912	503.7
chr4	49125952	49125953	+	33	49125953	108.16
chr4	49126658	49126659	+	8	49126659	13.53
chr4	49126667	49126668	+	8	49126668	312.86
chr4	49126712	49126713	+	40	49126713	23.63
chr4	49126737	49126738	+	40	49126738	214.97
chr4	49126746	49126747	+	40	49126747	284.61
chr4	49126760	49126761	+	54	49126761	540.61
chr4	49126890	49126891	+	17	49126891	53.61
chr4	49126931	49126932	+	12	49126932	279.03
chr4	49130402	49130403	+	1	49130403	122.72
chr4	49130411	49130412	+	1	49130412	62.63
chr4	49130416	49130417	+	1	49130417	65.61
chr4	49130497	49130498	+	13	49130498	222.3
chr4	49130518	49130519	+	10	49130519	81.3
chr4	49130533	49130534	+	10	49130534	758.61
chr4	49132347	49132348	+	2	49132348	149.07
chr4	49132373	49132374	+	1	49132374	125.61
chr4	49132488	49132500	+	24	49132489	136.72
chr4	49132500	49132519	+	18	49132489	136.72
chr4	49132528	49132529	+	18	49132529	176.61
chr4	49132574	49132575	+	1	49132575	154.67
chr4	49132599	49132600	+	1	49132600	53.67
chr4	49132654	49132655	+	27	49132655	270.69
chr4	49133043	49133044	+	13	49133044	71.61
chr4	49133050	49133051	+	1	49133051	34.64
chr4	49133052	49133053	+	1	49133053	34.64
chr4	49133759	49133760	+	23	49133760	549.05
chr4	49133800	49133801	+	7	49133801	36.61
chr4	49134034	49134035	+	18	49134035	196.33
chr4	49135308	49135309	+	4	49135309	57.66
chr4	49135318	49135319	+	4	49135319	48.61
chr4	49136267	49136268	+	10	49136268	77.32
chr4	49141666	49141667	+	30	49141667	21.7
chr4	49141670	49141671	+	30	49141671	24.63
chr4	49143144	49143145	+	6	49143145	1605.92
chr4	49143168	49143169	+	1	49143169	2018.51
chr4	49143351	49143352	+	2	49143352	83.67
chr4	49145275	49145296	+	4	49145276	150.42
chr4	49145627	49145628	+	6	49145628	38.67
chr4	49145774	49145775	+	2	49145775	153.61
chr4	49145777	49145778	+	2	49145778	133.61
chr4	49145779	49145780	+	2	49145780	412.67
chr4	49145780	49145781	+	2	49145781	415.61
chr4	49145976	49145977	+	3	49145977	15.46
chr4	49146081	49146082	+	33	49146082	19.51
chr4	49146112	49146113	+	24	49146113	78.64
chr4	49146113	49146114	+	24	49146114	63.64
chr4	49146158	49146159	+	35	49146159	43.47
chr4	49147069	49147070	+	89	49147070	16.49
chr4	49147441	49147442	+	13	49147442	2018.91
chr4	49147553	49147574	+	41	49147554	1583.98
chr4	49147661	49147677	+	19	49147662	37.63
chr4	49148910	49148911	+	5	49148911	245.61
chr4	49148925	49148926	+	5	49148926	233.61
chr4	49148933	49148934	+	5	49148934	149.61
chr4	49150288	49150289	+	41	49150289	134.23
chr4	49150292	49150293	+	41	49150293	252.3
chr4	49150302	49150303	+	1	49150303	284.3
chr4	49150363	49150364	+	9	49150364	14573.9
chr4	49150585	49150586	+	4	49150586	479.61
chr4	49151161	49151162	+	15	49151162	80.33
chr4	49151165	49151168	+	15	49151166	74.29
chr4	49151168	49151177	+	15	49151169	103.74
chr4	49151172	49151173	+	15	49151173	1160.9
chr4	49151176	49151177	+	15	49151177	607.13
chr4	49151218	49151219	+	88	49151219	76.33
chr4	49151243	49151244	+	88	49151244	73.33
chr4	49151883	49151884	+	17	49151884	259.61
chr4	49151981	49151982	+	9	49151982	72.33
chr4	49151987	49151988	+	9	49151988	72.92
chr4	49151996	49151997	+	9	49151997	319.61
chr4	49152021	49152022	+	16	49152022	78.36
chr4	49152055	49152056	+	13	49152056	51.45
chr4	49154617	49154618	+	3	49154618	11.99
chr4	49155382	49155383	+	9	49155383	1992.05
chr4	49156176	49156177	+	55	49156177	650.05
chr4	49156468	49156474	+	215	49156469	893.13
chr4	49156601	49156602	+	44	49156602	2860.05
chr4	49156612	49156613	+	44	49156613	2836.05
chr4	49156648	49156649	+	44	49156649	3019.05
chr4	49156680	49156681	+	12	49156681	3004.05
chr4	49156707	49156708	+	15	49156708	714.05
chr4	49157278	49157279	+	4	49157279	211.44
chr4	49157327	49157328	+	19	49157328	300.9
chr4	49157338	49157339	+	19	49157339	438.86
chr4	49157563	49157564	+	2	49157564	258.78
chr4	49157834	49157835	+	9	49157835	924.4
chr4	49161101	49161102	+	3	49161102	31.3
chr4	49161261	49161262	+	4	49161262	110.3
chr4	49165819	49165820	+	2	49165820	258.8
chr4	49166657	49166658	+	4	49166658	112.6
chr4	49166739	49166740	+	3	49166740	201.71
chr4	49166964	49166965	+	4	49166965	12.55
chr4	49167644	49167645	+	3	49167645	45.17
chr4	49167651	49167652	+	2	49167652	42.17
chr4	49181235	49181236	+	7	49181236	102.62
chr4	49181863	49181864	+	2	49181864	27.42
chr4	49189038	49189039	+	2	49189039	23.37
chr4	49190800	49190809	+	3	49190795	112.9
chr4	49190823	49190826	+	3	49190824	67.29
chr4	49191036	49191037	+	2	49191037	25.65
chr4	49202259	49202260	+	2	49202260	13.62
chr4	49202693	49202694	+	3	49202694	157.33
chr4	49205019	49205020	+	7	49205020	30.89
chr4	49215187	49215188	+	1	49215188	614.9
chr4	49215199	49215200	+	1	49215200	651.9
chr4	49215214	49215215	+	1	49215215	637.9
chr4	49222268	49222269	+	2	49222269	656.9
chr4	49222816	49222817	+	3	49222817	119.93
chr4	49222817	49222818	+	3	49222818	122.92
chr4	49222885	49222886	+	4	49222886	326.9
chr4	49222892	49222893	+	4	49222893	347.9
chr4	49222898	49222899	+	4	49222899	188.9
chr4	49224573	49224574	+	2	49224574	349.17
chr4	49224993	49224994	+	1	49224994	130.94
chr4	49228850	49228851	+	1	49228844	72.25
chr4	49233001	49233002	+	2	49233002	266.91
chr4	49235939	49235940	+	2	49235940	142.05
chr4	49235945	49235946	+	2	49235946	27.34
chr4	49236727	49236728	+	1	49236728	221.86
chr4	49241394	49241395	+	10	49241395	113.33
chr4	49242003	49242004	+	2	49242004	65.3
chr4	49242163	49242164	+	3	49242164	208.01
chr4	49242693	49242694	+	9	49242694	158.13
chr4	49243418	49243419	+	1	49243419	65.05
chr4	49244476	49244477	+	6	49244477	133.9
chr4	49244851	49244852	+	3	49244852	1279.9
chr4	49244866	49244867	+	3	49244867	1075.05
chr4	49244894	49244895	+	3	49244895	10.72
chr4	49246840	49246841	+	2	49246841	68.67
chr4	49250998	49250999	+	2	49250999	62.33
chr4	49256476	49256477	+	2	49256477	126.1
chr4	49257978	49257979	+	3	49257979	285.62
chr4	49261652	49261653	+	5	49261653	35.68
chr4	49265554	49265555	+	1	49265555	107.34
chr4	49266642	49266643	+	5	49266643	51.31
chr4	49269213	49269214	+	2	49269214	67.51
chr4	49272506	49272507	+	15	49272507	234.04
chr4	49285222	49285223	+	15	49285223	49.67
chr4	49286275	49286276	+	5	49286276	191.6
chr4	49290731	49290732	+	15	49290732	72.47
chr4	49290750	49290751	+	5	49290751	51.41
chr4	49292085	49292086	+	2	49292086	34.62
chr4	49292355	49292356	+	4	49292356	914.88
chr4	49292488	49292489	+	2	49292489	18.67
chr4	49295712	49295713	+	1	49295713	178.36
chr4	49297258	49297259	+	10	49297259	415.47
chr4	49298008	49298009	+	12	49298009	179.93
chr4	49298176	49298177	+	12	49298177	163.62
chr4	49298195	49298196	+	12	49298196	16.24
chr4	49298234	49298235	+	28	49298235	184.04
chr4	49298473	49298474	+	1	49298474	12.69
chr4	49299963	49299964	+	8	49299964	148.33
chr4	49304027	49304028	+	11	49304028	13.87
chr4	49306467	49306468	+	4	49306468	4412.31
chr4	49307411	49307412	+	9	49307412	61.68
chr4	49307630	49307631	+	3	49307631	251.03
chr4	49307667	49307668	+	1	49307668	88.34
chr4	49307826	49307827	+	10	49307827	107.84
chr4	49312297	49312298	+	5	49312298	364.35
chr4	49312302	49312303	+	10	49312303	372.6
chr4	49312347	49312348	+	10	49312348	596.6
chr4	49312353	49312354	+	4	49312354	594.8
chr4	49312354	49312355	+	4	49312355	594.8
chr4	49313254	49313255	+	2	49313255	49.35
chr4	49313264	49313265	+	2	49313265	49.6
chr4	49314003	49314004	+	9	49314004	1067.77
chr4	49314259	49314260	+	6	49314260	686.05
chr4	49319295	49319296	+	5	49319296	27.36
chr4	49321206	49321207	+	32	49321207	140.61
chr4	49322733	49322734	+	3	49322734	235.28
chr4	49322791	49322792	+	7	49322792	165.04
chr4	49322845	49322846	+	22	49322846	68.58
chr4	49322856	49322857	+	4	49322857	32.34
chr4	49322877	49322878	+	4	49322878	96.33
chr4	49333033	49333034	+	3	49333034	24.66
chr4	49333086	49333087	+	2	49333087	48.88
chr4	49333178	49333180	+	3	49333179	26.65
chr4	49333596	49333597	+	22	49333597	71.96
chr4	49512833	49512834	+	12	49512834	35.78
chr4	49513325	49513326	+	17	49513326	213.43
chr4	49513874	49513875	+	7	49513875	11.61
chr4	49516712	49516713	+	31	49516713	1284.46
chr4	49519040	49519041	+	1	49519041	34.04
chr4	49519769	49519770	+	2	49519770	489.24
chr4	49523360	49523361	+	1	49523361	1587.83
chr4	49525661	49525662	+	1	49525662	41.7
chr4	49531667	49531668	+	1	49531668	326.1
chr4	49531940	49531941	+	1	49531941	279.17
chr4	49531944	49531945	+	1	49531945	218.17
chr4	49532005	49532006	+	1	49532006	16.51
chr4	49532011	49532012	+	1	49532012	13.55
chr4	49532019	49532020	+	1	49532020	37.31
chr4	49532581	49532582	+	5	49532582	130.54
chr4	49533750	49533751	+	1	49533751	34.37
chr4	49535070	49535071	+	4	49535071	10.06
chr4	49537003	49537004	+	1	49537004	116.93
chr4	49539002	49539003	+	1	49539003	260.15
chr4	49539368	49539369	+	1	49539369	54
chr4	49542351	49542352	+	4	49542352	45.68
chr4	49542353	49542354	+	4	49542354	44.25
chr4	49551721	49551722	+	1	49551722	26.69
chr4	49551736	49551737	+	1	49551737	1823.64
chr4	49553122	49553123	+	1	49553123	186.9
chr4	49554375	49554376	+	2	49554376	1415.05
chr4	49554407	49554408	+	6	49554408	698.05
chr4	49554411	49554412	+	6	49554412	585.05
chr4	49554418	49554419	+	6	49554419	546.05
chr4	49556669	49556670	+	1	49556670	104.34
chr4	49556929	49556930	+	7	49556930	134.3
chr4	49558437	49558438	+	1	49558438	87.3
chr4	49558451	49558452	+	1	49558452	93.31
chr4	49558458	49558459	+	1	49558459	97.35
chr4	49558460	49558461	+	1	49558461	97.35
chr4	49558493	49558494	+	1	49558494	87.35
chr4	49559306	49559307	+	16	49559307	8679.24
chr4	49561295	49561296	+	1	49561296	228.97
chr4	49561299	49561300	+	1	49561300	222.9
chr4	49561301	49561302	+	2	49561302	219.9
chr4	49561307	49561308	+	2	49561308	216.9
chr4	49570161	49570162	+	3	49570162	108.12
chr4	49579365	49579366	+	2	49579366	54.67
chr4	49591519	49591520	+	5	49591520	54.37
chr4	49591788	49591789	+	1	49591789	27.35
chr4	49591836	49591837	+	2	49591837	94.34
chr4	49592372	49592373	+	1	49592373	638.18
chr4	49610254	49610255	+	2	49610255	45.3
chr4	49615916	49615917	+	3	49615917	2313.92
chr4	49619492	49619493	+	7	49619493	12.87
chr4	49619497	49619498	+	7	49619498	12.73
chr4	49627868	49627869	+	1	49627869	3894.89
chr4	49627872	49627873	+	1	49627873	4050.57
chr4	49636740	49636741	+	1	49636741	34.49
chr4	49636746	49636747	+	1	49636747	42.4
chr4	49636749	49636750	+	1	49636750	40.41
chr4	49636837	49636838	+	25	49636838	70.3
chr4	49636890	49636892	+	20	49636891	704.01
chr4	49636909	49636910	+	5	49636910	374.9
chr4	49638143	49638144	+	5	49638144	268.67
chr4	49638443	49638444	+	12	49638444	2591.14
chr4	49638509	49638510	+	6	49638510	669.05
chr4	49639103	49639104	+	78	49639104	356.05
chr4	49639106	49639107	+	78	49639107	549.05
chr4	49639907	49639908	+	11	49639908	86.67
chr4	49639944	49639945	+	11	49639945	209.46
chr4	49640146	49640147	+	63	49640147	40.3
chr4	49640156	49640157	+	12	49640157	23.73
chr4	49640186	49640187	+	12	49640187	27.3
chr4	49640206	49640207	+	7	49640207	42.67
chr4	49640304	49640307	+	5	49640305	271.86
chr4	49640307	49640311	+	5	49640308	268.86
chr4	49640558	49640559	+	36	49640559	50.67
chr4	49642084	49642085	+	15	49642085	41.35
chr4	49642897	49642898	+	2	49642898	6373.9
chr4	49644258	49644259	+	20	49644259	422.9
chr4	49645155	49645156	+	36	49645156	74.33
chr4	49645198	49645199	+	36	49645199	128.47
chr4	49645201	49645202	+	17	49645202	96.67
chr4	49645206	49645207	+	17	49645207	49.87
chr4	49645208	49645209	+	17	49645209	71.64
chr4	49645252	49645253	+	17	49645253	167.61
chr4	49645651	49645652	+	52	49645652	258.57
chr4	49645666	49645667	+	52	49645667	68.61
chr4	49645674	49645675	+	52	49645675	65.61
chr4	49645679	49645680	+	52	49645680	65.61
chr4	49645702	49645703	+	4	49645703	59.61
chr4	49645722	49645723	+	4	49645723	307.61
chr4	49645864	49645870	+	7	49645865	979.69
chr4	49646006	49646007	+	4	49646007	253.61
chr4	49646025	49646026	+	4	49646026	15246.33
chr4	49646355	49646356	+	6	49646356	589.05
chr4	49646368	49646400	+	6	49646369	488.01
chr4	49646400	49646419	+	30	49646369	488.01
chr4	49646548	49646550	+	25	49646549	107.74
chr4	49646550	49646559	+	8	49646549	107.74
chr4	49646659	49646660	+	73	49646660	1180.43
chr4	49646663	49646664	+	73	49646664	1267.41
chr4	49646667	49646668	+	73	49646668	1267.41
chr4	49646709	49646710	+	60	49646710	292.01
chr4	49646745	49646746	+	60	49646746	446.05
chr4	49646774	49646780	+	44	49646775	2585.5
chr4	49646817	49646818	+	52	49646818	3017.54
chr4	49646865	49646866	+	7	49646866	103.62
chr4	49647693	49647694	+	5	49647694	112.99
chr4	49647732	49647733	+	2	49647733	1099.05
chr4	49648000	49648001	+	13	49648001	76.3
chr4	49648822	49648823	+	10	49648823	235.33
chr4	49648912	49648913	+	24	49648913	211.61
chr4	49649036	49649037	+	2	49649037	175.29
chr4	49649087	49649088	+	31	49649088	346.67
chr4	49649147	49649148	+	34	49649148	116.68
chr4	49649169	49649170	+	13	49649170	1288.01
chr4	49649200	49649201	+	9	49649201	693.05
chr4	49649265	49649266	+	16	49649266	627.05
chr4	49649512	49649513	+	3	49649513	159.3
chr4	49649610	49649611	+	18	49649611	50.7
chr4	49649666	49649667	+	3	49649667	39.78
chr4	49649675	49649676	+	3	49649676	14.14
chr4	49650102	49650103	+	11	49650103	60.67
chr4	49650165	49650166	+	14	49650166	127.47
chr4	49650595	49650600	+	8	49650596	32.57
chr4	49650600	49650601	+	4	49650596	32.57
chr4	49651450	49651451	+	5	49651451	29.68
chr4	49651455	49651456	+	5	49651456	28.34
chr4	49652393	49652394	+	2	49652394	11.64
chr4	49652535	49652536	+	53	49652536	100.98
chr4	49652567	49652568	+	94	49652568	136.91
chr4	49652950	49652951	+	22	49652951	210.05
chr4	49652958	49652959	+	22	49652959	206.13
chr4	49652962	49652963	+	22	49652963	183.05
chr4	49652964	49652965	+	22	49652965	183.05
chr4	49652998	49652999	+	22	49652999	156.05
chr4	49654538	49654539	+	5	49654539	5879.28
chr4	49654795	49654796	+	12	49654796	52.61
chr4	49654796	49654797	+	12	49654797	491.01
chr4	49654799	49654800	+	12	49654800	45.33
chr4	49654872	49654873	+	4	49654873	9053.55
chr4	49655187	49655188	+	34	49655188	17.69
chr4	49657271	49657272	+	7	49657272	978.05
chr4	52964688	52964689	+	1	52964689	2284.36
chr4	53885153	53885154	+	5	53885154	115.75
chr4	53885159	53885160	+	5	53885160	115.83
chr4	53885165	53885166	+	5	53885166	112.83
chr4	53885171	53885172	+	5	53885172	71.17
chr4	53885177	53885178	+	5	53885178	67.17
chr4	54071770	54071771	+	1	54071771	28.38
chr4	55061165	55061166	+	2	55061166	2357.33
chr4	55454866	55454867	+	5	55454867	27.62
chr4	56426400	56426402	+	3	56426401	1867.69
chr4	57953694	57953695	+	4	57953695	601.01
chr4	58453004	58453005	+	1	58453005	1584.32
chr4	60054511	60054514	+	2	60054512	17.67
chr4	64742484	64742492	+	2	64742485	79.93
chr4	65720083	65720086	+	6	65720084	23.61
chr4	66797850	66797852	+	7	66797850	100.45
chr4	67749706	67749711	+	2	67749707	37.29
chr4	68761941	68761942	+	2	68761942	20.53
chr4	69383736	69383737	+	1	69383737	10.83
chr4	70047278	70047279	+	2	70047279	88.61
chr4	70047279	70047280	+	2	70047280	87.39
chr4	70047285	70047286	+	2	70047286	100.61
chr4	70047289	70047290	+	2	70047290	98.62
chr4	71105918	71105919	+	4	71105919	115.58
chr4	71105919	71105920	+	4	71105920	115.65
chr4	71692306	71692309	+	5	71692307	37.26
chr4	74378339	74378340	+	2	74378340	559.93
chr4	76424309	76424310	+	2	76424310	308.37
chr4	76681593	76681594	+	2	76681594	144.05
chr4	77126571	77126572	+	5	77126572	26.04
chr4	79202520	79202521	+	12	79202521	1787.38
chr4	79935302	79935303	+	1	79935303	11.04
chr4	80468222	80468224	+	4	80468223	1553.78
chr4	81194402	81194404	+	2	81194403	1539.85
chr4	81392488	81392489	+	4	81392489	37.61
chr4	81392497	81392498	+	4	81392498	36.74
chr4	81708991	81708992	+	5	81708992	167.39
chr4	82012418	82012420	+	1	82012419	677.96
chr4	83182764	83182765	+	2	83182765	18.55
chr4	83182774	83182775	+	2	83182775	26.41
chr4	83791912	83791913	+	2	83791913	95.29
chr4	83943564	83943565	+	1	83943565	21.7
chr4	83943579	83943580	+	1	83943580	17.99
chr4	84635573	84635582	+	4	84635574	168.53
chr4	86765832	86765833	+	6	86765833	10.66
chr4	87522639	87522640	+	2	87522640	875.93
chr4	88285601	88285602	+	3	88285602	820.04
chr4	89094313	89094314	+	1	89094314	2290.72
chr4	89925500	89925503	+	1	89925501	45.29
chr4	89983605	89983627	+	2	89983606	16.09
chr4	90337620	90337622	+	3	90337621	1768.33
chr4	90594145	90594147	+	1	90594146	913.25
chr4	90748874	90748875	+	3	90748875	668.05
chr4	91674971	91674974	+	1	91674972	409.37
chr4	91674977	91674978	+	1	91674978	422.63
chr4	92196274	92196275	+	2	92196275	102.27
chr4	92196283	92196284	+	2	92196284	68.51
chr4	92196285	92196286	+	2	92196286	63.33
chr4	92602202	92602204	+	2	92602203	267.13
chr4	92993290	92993292	+	7	92993291	1849.44
chr4	93244488	93244500	+	1	93244489	145.88
chr4	93244500	93244550	+	4	93244489	145.88
chr4	93244600	93244630	+	6	93244489	145.88
chr4	93296300	93296301	+	1	93296301	33.62
chr4	93296304	93296305	+	1	93296305	34.39
chr4	93650377	93650378	+	1	93650378	491.01
chr4	95606248	95606249	+	2	95606249	16.69
chr4	95668942	95668943	+	9	95668943	63.42
chr4	95668947	95668948	+	9	95668948	116.4
chr4	95902285	95902286	+	3	95902286	3305.36
chr4	96870822	96870823	+	6	96870823	121.13
chr4	96870954	96870955	+	3	96870955	79.17
chr4	96870995	96870996	+	3	96870996	24.75
chr4	97492610	97492614	+	1	97492611	1252.01
chr4	99931732	99931733	+	2	99931733	22.66
chr4	100005293	100005294	+	1	100005294	26.55
chr4	100208486	100208488	+	2	100208487	2633.79
chr4	101584835	101584837	+	4	101584836	20.45
chr4	102409651	102409652	+	1	102409652	59.61
chr4	102887300	102887301	+	2	102887301	43.3
chr4	102901066	102901068	+	4	102901067	187.25
chr4	102901334	102901335	+	6	102901335	46.34
chr4	102905642	102905643	+	18	102905643	15.42
chr4	102905645	102905646	+	18	102905646	15.42
chr4	102924874	102924875	+	3	102924875	23.39
chr4	103251013	103251014	+	3	103251014	64.68
chr4	103251033	103251034	+	3	103251034	81.24
chr4	106639470	106639471	+	4	106639471	13.59
chr4	107858003	107858004	+	1	107858004	130.46
chr4	107858017	107858020	+	1	107858018	37.45
chr4	107858023	107858026	+	1	107858024	23.47
chr4	108186527	108186535	+	5	108186528	1944.86
chr4	108807818	108807819	+	1	108807819	67.61
chr4	110462038	110462045	+	1	110462039	53.57
chr4	113663589	113663593	+	2	113663590	47.8
chr4	113702901	113702904	+	3	113702902	40.3
chr4	113777881	113777883	+	1	113777882	1645.54
chr4	114136562	114136563	+	10	114136563	2438.7
chr4	114929077	114929078	+	1	114929078	831.01
chr4	116195305	116195310	+	2	116195306	1142.72
chr4	116206015	116206016	+	6	116206016	32
chr4	116938412	116938423	+	1	116938413	1655.37
chr4	116938444	116938445	+	1	116938445	1805.33
chr4	118612825	118612826	+	1	118612826	201.91
chr4	118619968	118619969	+	4	118619969	54.3
chr4	118619977	118619978	+	4	118619978	63.31
chr4	118626168	118626169	+	3	118626169	143.18
chr4	118632270	118632271	+	1	118632271	587.9
chr4	118632285	118632286	+	1	118632286	551.9
chr4	119022668	119022669	+	6	119022669	187.63
chr4	119145548	119145549	+	19	119145549	172.58
chr4	119445805	119445806	+	3	119445806	49.41
chr4	119767156	119767157	+	3	119767157	3186.68
chr4	121082955	121082957	+	3	121082956	283.87
chr4	125484001	125484002	+	2	125484002	731.08
chr4	125567234	125567235	+	2	125567235	2876.66
chr4	126146983	126146984	+	8	126146984	25.69
chr4	127233122	127233123	+	4	127233123	226.45
chr4	127233123	127233124	+	4	127233124	2333.49
chr4	127652616	127652617	+	5	127652617	26.4
chr4	127680606	127680607	+	5	127680607	75.13
chr4	128039143	128039150	+	10	128039144	1481.37
chr4	130793259	130793261	+	1	130793260	1773.79
chr4	131733432	131733433	+	1	131733433	36.75
chr4	131734541	131734542	+	6	131734542	262.12
chr4	131738741	131738742	+	8	131738742	64.34
chr4	131739705	131739706	+	3	131739706	40.35
chr4	131739710	131739711	+	3	131739711	37.35
chr4	131742649	131742650	+	4	131742650	123.35
chr4	131742896	131742897	+	1	131742897	41.41
chr4	134079415	134079416	+	8	134079416	1744.58
chr4	136732205	136732218	+	5	136732206	856.37
chr4	137176646	137176649	+	1	137176647	47.3
chr4	137290657	137290658	+	1	137290658	201.39
chr4	137577494	137577496	+	4	137577495	1888.29
chr4	139883860	139883862	+	1	139883861	1417.27
chr4	139990249	139990250	+	1	139990250	50.34
chr4	142260591	142260595	+	4	142260592	1312.87
chr4	142299155	142299157	+	2	142299156	1394.55
chr4	143849735	143849736	+	3	143849736	99.03
chr4	143886207	143886208	+	3	143886208	89.13
chr4	143886223	143886224	+	3	143886224	83.54
chr4	143886232	143886237	+	3	143886233	74.5
chr4	143886527	143886528	+	1	143886528	597.53
chr4	143887680	143887681	+	1	143887681	2188.36
chr4	143914315	143914316	+	1	143914316	3389.59
chr4	145369489	145369490	+	1	145369490	37.72
chr4	145369493	145369494	+	1	145369494	43.49
chr4	146553179	146553180	+	14	146553180	3205.35
chr4	146761668	146761672	+	1	146761669	1673.33
chr4	147342640	147342641	+	2	147342641	16.44
chr4	147342643	147342644	+	2	147342644	13.54
chr4	147358130	147358131	+	3	147358131	11.75
chr4	148135917	148135918	+	10	148135918	1795.49
chr4	148135948	148135949	+	10	148135949	1015.99
chr4	148390126	148390128	+	1	148390127	602.01
chr4	149774769	149774771	+	4	149774770	708.5
chr4	150069326	150069328	+	8	150069327	1388.53
chr4	151364988	151364991	+	1	151364989	21.48
chr4	151894942	151894944	+	2	151894943	1708.44
chr4	153746434	153746435	+	3	153746435	1454.05
chr4	156660685	156660686	+	3	156660686	199.37
chr4	156985260	156985261	+	2	156985261	2223.64
chr4	156985262	156985263	+	2	156985263	2047.92
chr4	156985281	156985282	+	2	156985282	49.49
chr4	157175717	157175718	+	3	157175718	28.36
chr4	157175718	157175719	+	3	157175719	28.36
chr4	157694613	157694618	+	2	157694614	16.4
chr4	157694764	157694765	+	4	157694765	15.46
chr4	157694772	157694773	+	4	157694773	15.46
chr4	157694776	157694777	+	4	157694777	15.47
chr4	158212597	158212598	+	2	158212598	79.29
chr4	159523060	159523061	+	5	159523061	34.38
chr4	159523065	159523066	+	5	159523066	34.34
chr4	159523097	159523098	+	5	159523098	28.34
chr4	159597931	159597932	+	4	159597932	12.95
chr4	159939550	159939571	+	3	159939522	66.7
chr4	161132104	161132105	+	1	161132105	22.41
chr4	161200791	161200792	+	2	161200792	1397.86
chr4	162649213	162649214	+	6	162649214	39.35
chr4	163068026	163068027	+	4	163068027	2959.92
chr4	163232868	163232871	+	2	163232869	20.2
chr4	165043632	165043635	+	3	165043633	30.34
chr4	165170507	165170509	+	6	165170508	2333.77
chr4	165235112	165235113	+	2	165235113	598.05
chr4	165235113	165235114	+	2	165235114	598.05
chr4	165959018	165959019	+	5	165959019	38.7
chr4	167306658	167306661	+	2	167306659	516.86
chr4	167329512	167329514	+	4	167329513	2562.82
chr4	167555136	167555137	+	1	167555137	2801.45
chr4	168499260	168499285	+	1	168499261	78.57
chr4	170039406	170039410	+	1	170039407	2007.88
chr4	170045837	170045838	+	4	170045838	5422.36
chr4	170045838	170045839	+	4	170045839	5422.36
chr4	170045840	170045841	+	4	170045841	5422.36
chr4	170157011	170157012	+	2	170157012	13.57
chr4	170157028	170157029	+	2	170157029	37.37
chr4	171893947	171893948	+	2	171893948	109.92
chr4	172983922	172983925	+	5	172983923	2198.28
chr4	173075152	173075153	+	2	173075153	29.49
chr4	173135382	173135385	+	2	173135383	12.56
chr4	174110897	174110898	+	2	174110898	134.34
chr4	176883338	176883339	+	3	176883339	139.98
chr4	176883339	176883340	+	3	176883340	82.59
chr4	177098775	177098777	+	3	177098776	57.63
chr4	177228358	177228359	+	5	177228359	13.63
chr4	178104742	178104743	+	2	178104743	438.05
chr4	178104779	178104780	+	9	178104780	554.01
chr4	178656018	178656021	+	6	178656019	2220.62
chr4	179377667	179377668	+	7	179377668	80.93
chr4	179377680	179377681	+	7	179377681	69.36
chr4	180354593	180354594	+	1	180354594	62.66
chr4	183549235	183549236	+	1	183549236	1097.86
chr4	183585632	183585633	+	3	183585633	142.86
chr4	183585634	183585635	+	3	183585635	1719.51
chr4	183642184	183642189	+	4	183642185	1230.39
chr4	184457848	184457849	+	4	184457849	1610.32
chr4	184858781	184858800	+	5	184858782	195.89
chr4	185241510	185241511	+	1	185241511	79.64
chr4	186423024	186423026	+	2	186423025	1952.07
chr4	187214350	187214400	+	2	187214268	15.57
chr4	187270124	187270129	+	3	187270125	27.6
chr4	187734052	187734065	+	2	187734053	250.9
chr4	188037934	188037937	+	6	188037935	3015.38
chr4	188796704	188796705	+	1	188796705	106.65
chr4	188796706	188796707	+	1	188796707	107.62
chr4	188796711	188796714	+	1	188796712	93.29
chr4	188796729	188796730	+	1	188796730	119.61
chr4	188796748	188796749	+	1	188796749	114.64
chr4	188796750	188796751	+	3	188796751	161.08
chr4	188872099	188872100	+	9	188872100	87.45
chr4	189010643	189010644	+	1	189010644	12.41
chr4	189051100	189051101	+	1	189051101	36.52
chr4	189307466	189307467	+	1	189307467	2134.64
chr4	190046605	190046606	+	4	190046606	44.34
chr4	190046631	190046632	+	4	190046632	58.3
chr4	190047209	190047210	+	6	190047210	53.46
chr4	190048973	190048974	+	4	190048974	61.61
chr4	190054096	190054097	+	5	190054097	79.88
chr4	190113082	190113083	+	3	190113083	18.41
chr4	190113084	190113085	+	3	190113085	18.41
chr4	190113261	190113262	+	3	190113262	306.05
chr4	190181722	190181723	+	3	190181723	237.17
chr4	190181740	190181741	+	3	190181741	251.93
chr5	258608	258641	+	1	258609	290.4
chr5	261712	261713	+	1	261713	55.39
chr5	290742	290743	+	1	290743	114.8
chr5	714797	714798	+	2	714798	2563.76
chr5	835002	835003	+	4	835003	61.33
chr5	854995	854996	+	2	854996	27.42
chr5	855474	855475	+	7	855475	20.73
chr5	855476	855477	+	7	855477	16.5
chr5	855480	855481	+	7	855481	13.49
